"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.353164950E-1,-5.310058594E-3,-2.075195312E-3,2.372741699E-2,2.440273499E-2
3.392837800E-1,-4.241943359E-3,1.129150391E-3,2.265930176E-2,2.308057669E-2
3.432510650E-1,-5.310058594E-3,-2.075195312E-3,2.265930176E-2,2.336551121E-2
3.472183500E-1,-2.120971680E-3,-4.196166992E-3,2.159118652E-2,2.209718701E-2
3.511856350E-1,1.083374023E-3,-8.468627930E-3,2.265930176E-2,2.421436174E-2
3.551529200E-1,1.083374023E-3,-4.196166992E-3,1.947021484E-2,1.994669854E-2
3.591507230E-1,2.151489258E-3,-3.128051758E-3,1.733398438E-2,1.774487611E-2
3.631180080E-1,6.408691406E-3,-2.075195312E-3,1.733398438E-2,1.859690231E-2
3.670852940E-1,6.408691406E-3,-6.332397461E-3,1.626586914E-2,1.859432930E-2
3.710525790E-1,6.408691406E-3,-5.264282227E-3,1.414489746E-2,1.639701549E-2
3.750198640E-1,6.408691406E-3,-3.128051758E-3,1.626586914E-2,1.776047669E-2
3.789871490E-1,9.597778320E-3,-3.128051758E-3,1.626586914E-2,1.914368187E-2
3.829849520E-1,1.173400879E-2,-6.332397461E-3,1.414489746E-2,1.943873309E-2
3.869522370E-1,9.597778320E-3,-5.264282227E-3,1.307678223E-2,1.705380454E-2
3.909195220E-1,4.272460938E-3,-5.264282227E-3,1.414489746E-2,1.568581251E-2
3.948868070E-1,3.204345703E-3,-7.400512695E-3,1.521301270E-2,1.721833833E-2
3.988540920E-1,4.272460938E-3,-9.521484375E-3,1.733398438E-2,2.023313128E-2
4.028213780E-1,4.272460938E-3,-3.128051758E-3,1.626586914E-2,1.710605534E-2
4.067886630E-1,5.340576172E-3,-2.075195312E-3,1.626586914E-2,1.724548313E-2
4.107559480E-1,4.272460938E-3,6.103515625E-5,1.626586914E-2,1.681773310E-2
4.147537510E-1,2.151489258E-3,3.250122070E-3,1.521301270E-2,1.570439285E-2
4.187210360E-1,-3.173828125E-3,1.129150391E-3,1.626586914E-2,1.661104044E-2
4.226883210E-1,-2.120971680E-3,-4.196166992E-3,1.626586914E-2,1.693177005E-2
4.266556060E-1,-2.120971680E-3,-5.264282227E-3,1.947021484E-2,2.028054374E-2
4.306228910E-1,-1.052856445E-3,-2.075195312E-3,1.626586914E-2,1.643147715E-2
4.345901760E-1,-3.173828125E-3,6.454467773E-3,1.733398438E-2,1.876700172E-2
4.385879790E-1,-5.310058594E-3,7.522583008E-3,1.840209961E-2,2.057725073E-2
4.425552640E-1,-4.241943359E-3,2.197265625E-3,1.840209961E-2,1.901208378E-2
4.465225490E-1,-4.241943359E-3,-2.075195312E-3,1.733398438E-2,1.796573220E-2
4.504898350E-1,-4.241943359E-3,6.103515625E-5,1.626586914E-2,1.681000618E-2
4.544571200E-1,-6.378173828E-3,1.129150391E-3,1.626586914E-2,1.750812899E-2
4.584244050E-1,-4.241943359E-3,3.250122070E-3,1.521301270E-2,1.612430253E-2
4.623916900E-1,-3.173828125E-3,3.250122070E-3,1.414489746E-2,1.485646669E-2
4.663894930E-1,-3.173828125E-3,6.103515625E-5,1.414489746E-2,1.449672496E-2
4.703567780E-1,-6.378173828E-3,-2.075195312E-3,1.200866699E-2,1.375483987E-2
4.743240630E-1,-4.241943359E-3,-5.264282227E-3,1.414489746E-2,1.567752771E-2
4.782913480E-1,1.525878906E-5,-5.264282227E-3,9.887695312E-3,1.120175963E-2
4.822586330E-1,1.525878906E-5,-4.196166992E-3,8.819580078E-3,9.766936214E-3
4.862259190E-1,1.525878906E-5,-2.075195312E-3,6.683349609E-3,6.998130494E-3
