"Time (s),""Linear Acceleration x (m/s^2)"",""Linear Acceleration y (m/s^2)"",""Linear Acceleration z (m/s^2)"",""Absolute acceleration (m/s^2)"""
4.183421260E-1,6.337560713E-2,-4.826252162E-2,2.808570862E-3,7.970963959E-2
4.223094110E-1,9.555406868E-4,-4.749773443E-2,-4.667854309E-2,6.660205867E-2
4.262766960E-1,-1.335854456E-2,3.126040101E-4,-3.884410858E-2,4.107813537E-2
4.302744990E-1,2.191074193E-2,-4.433517903E-2,1.831722260E-2,5.273717242E-2
4.342417840E-1,-2.363581210E-3,-3.639338911E-2,7.221889496E-2,8.090509302E-2
4.382090690E-1,-2.815604210E-3,-1.928979158E-2,8.757972717E-2,8.972308676E-2
4.421763540E-1,-3.407407179E-2,-2.479918301E-3,6.074905396E-3,3.470009854E-2
4.461741570E-1,5.993197113E-2,-5.423320830E-2,2.719688416E-2,8.528043477E-2
4.501414420E-1,1.324857026E-2,-2.035751939E-2,8.430480957E-4,2.430357874E-2
4.541087270E-1,2.878569439E-2,-3.425980359E-2,-2.040195465E-2,4.917916324E-2
4.580760120E-1,6.787675619E-2,1.354943216E-2,1.999568939E-2,7.204629579E-2
4.620738150E-1,-3.249817342E-2,1.689456403E-3,1.263904572E-2,3.491032820E-2
4.660411000E-1,8.084427565E-3,-3.842889518E-2,3.134155273E-2,5.024371484E-2
4.700083850E-1,-3.698188812E-3,1.641065627E-2,-1.630973816E-2,2.343061669E-2
4.739756710E-1,-3.181917965E-2,4.552356899E-3,9.889602661E-3,3.363017080E-2
4.779429560E-1,-2.186537907E-2,1.641678810E-2,-4.423141479E-3,2.769783229E-2
4.819407590E-1,9.225279093E-3,-2.695031464E-3,1.690864563E-2,1.944919705E-2
4.859080440E-1,-1.199030504E-2,-2.620146424E-2,2.501487732E-3,2.892302861E-2
4.898753290E-1,4.984761402E-2,3.544951230E-2,-2.588844299E-2,6.642035853E-2
4.938731320E-1,-1.181605831E-2,1.918226480E-3,-2.791976929E-2,3.037782652E-2
4.978404170E-1,-4.920480773E-2,1.611365378E-2,1.499462128E-2,5.390363261E-2
5.018077020E-1,-3.663474694E-2,2.541791648E-2,-1.119995117E-2,4.597405864E-2
5.057749870E-1,-3.397738934E-2,-1.501953602E-2,7.850646973E-3,3.796948915E-2
5.097422720E-1,-3.633739799E-2,3.023532033E-2,6.924915314E-2,8.384525209E-2
5.137400750E-1,3.686774522E-3,-8.801445365E-4,5.421161652E-2,5.434396311E-2
5.177073600E-1,1.694357023E-2,-1.270332932E-2,3.227233887E-2,3.860003891E-2
5.216746450E-1,-5.281016976E-2,-7.858566940E-3,3.425598145E-2,6.343613614E-2
5.256419300E-1,1.274138689E-3,-1.486843079E-2,1.964664459E-2,2.467152827E-2
5.296397330E-1,-4.454798996E-3,-1.461276412E-2,1.469516754E-2,2.119731253E-2
5.336070180E-1,-4.796514660E-2,1.400173455E-2,-3.282928467E-2,5.978683627E-2
5.375743030E-1,8.636449277E-2,-2.678655088E-3,-8.778572083E-3,8.685081538E-2
5.415415890E-1,6.515261531E-2,-5.057677627E-3,-6.331443787E-3,6.565463095E-2
5.455393910E-1,4.901987314E-2,-6.888468564E-2,-2.283668518E-2,8.757603592E-2
5.495066760E-1,8.307152987E-2,-6.611317396E-3,-3.206920624E-2,8.929178339E-2
5.534739620E-1,8.143220097E-3,-1.833129674E-2,2.038002014E-2,2.859534393E-2
5.574412470E-1,2.866301686E-3,1.277052611E-2,8.324623108E-3,1.551133045E-2
5.614390500E-1,1.178039983E-2,1.504961401E-2,1.770210266E-2,2.605058811E-2
5.654063350E-1,8.589170873E-3,-1.116789877E-2,2.462673187E-2,2.837202393E-2
5.693736200E-1,5.184274167E-3,-6.309308112E-3,3.046989441E-3,8.715974537E-3
5.733409050E-1,1.365548931E-2,8.025124669E-3,-2.779769897E-2,3.199354751E-2
5.773387080E-1,1.506113447E-2,-1.102577150E-2,8.036613464E-3,2.032221850E-2
5.813059930E-1,5.476356298E-2,-8.500754833E-3,5.582809448E-3,5.569989609E-2
5.852732780E-1,-3.816615790E-4,2.252837270E-2,-1.343345642E-2,2.623225102E-2
5.892405630E-1,9.346315637E-3,1.048976183E-2,-8.557319641E-3,1.645042366E-2
5.932078480E-1,-7.800384611E-2,1.276226342E-2,3.657150269E-2,8.709161948E-2
5.972056510E-1,-9.571723640E-4,-1.106967032E-2,1.488208771E-2,1.857229965E-2
6.011729360E-1,-5.282751471E-2,4.133258760E-2,7.621765137E-3,6.750718785E-2
6.051402210E-1,-9.599726647E-3,-3.490570188E-2,2.803802490E-3,3.631010994E-2
6.091075070E-1,-2.551244572E-3,-1.323344558E-2,2.649402618E-2,2.972484406E-2
6.131053090E-1,-2.731820568E-3,3.670313954E-2,4.901885986E-3,3.712966176E-2
6.170725940E-1,2.801544778E-2,4.357188940E-2,2.145671844E-2,5.606929308E-2
6.210398800E-1,1.331441663E-2,6.223587692E-2,3.312969208E-2,7.175064155E-2
6.250071650E-1,-1.073387079E-2,4.032561183E-2,1.385307312E-2,4.396906397E-2
6.290049680E-1,-3.236194700E-2,6.799913943E-3,1.372718811E-2,3.580461055E-2
6.329722530E-1,1.147619262E-1,-5.013202131E-2,3.733253479E-2,1.306799045E-1
6.369395380E-1,-4.365574569E-4,-1.883565634E-2,-1.995658875E-2,2.744518112E-2
6.409068230E-1,-4.810152948E-2,5.007079989E-2,-5.301475525E-2,8.735792130E-2
6.448741080E-1,6.621757522E-3,-1.216100901E-2,-9.765243530E-2,9.862928537E-2
6.488719110E-1,-1.284879074E-2,-4.971601069E-3,-5.172061920E-2,5.352411317E-2
6.528391960E-1,1.775663532E-2,-2.510756254E-3,-1.804351807E-2,2.543954676E-2
6.568064810E-1,7.944332436E-3,3.327962011E-2,2.721023560E-2,4.371547156E-2
6.607737660E-1,2.930428647E-2,-3.338626772E-2,4.834938049E-2,6.565856130E-2
6.647715690E-1,3.392497450E-2,-1.657503098E-2,5.032348633E-2,6.291334376E-2
6.687388540E-1,-1.710742712E-3,-6.400098652E-2,9.549140930E-3,6.473205549E-2
6.727061390E-1,-2.981420420E-2,-3.497304767E-2,-1.902198792E-2,4.973768048E-2
6.766734250E-1,-3.627617657E-2,-6.187006831E-3,-2.247810364E-3,3.686858679E-2
6.806712270E-1,-4.560323432E-3,1.285649091E-2,4.051971436E-2,4.275433498E-2
6.846385120E-1,1.738442481E-2,3.657548130E-2,4.018306732E-2,5.704965344E-2
6.886057980E-1,3.422897309E-2,-6.459444761E-3,4.220962524E-2,5.472658850E-2
6.925730830E-1,-3.707055002E-2,1.254500449E-2,-5.623817444E-3,3.953770529E-2
6.965403680E-1,-7.252804935E-2,2.903041989E-2,2.766704559E-2,8.287670742E-2
7.005381710E-1,1.346649602E-3,4.298735410E-2,1.793289185E-2,4.659736782E-2
7.045054560E-1,3.419592232E-2,3.304519504E-2,3.543853760E-3,4.768547911E-2
7.084727410E-1,9.544487298E-2,2.561824769E-2,-1.072502136E-2,9.940344297E-2
7.124400260E-1,6.772387773E-3,2.294795215E-2,-1.538658142E-2,2.844680354E-2
7.164378290E-1,1.858233847E-2,8.462592959E-3,1.356124878E-3,2.046357391E-2
7.204051140E-1,2.334741689E-2,1.793790609E-2,3.720283508E-3,2.967677307E-2
7.243723990E-1,-2.887150645E-2,2.262435853E-2,-5.813598633E-3,3.713789726E-2
7.283396840E-1,-2.616921254E-2,2.252030373E-2,4.646968842E-2,5.789148215E-2
7.323374870E-1,-1.179230586E-2,1.762480289E-2,6.508636475E-2,6.845383138E-2
7.363047720E-1,1.659567282E-2,8.236914873E-4,6.690406799E-2,6.893655879E-2
7.402720570E-1,-4.310718551E-2,-3.959407657E-2,1.648807526E-2,6.080934935E-2
7.442393430E-1,-1.199914329E-2,1.051369309E-2,-1.925373077E-2,2.500446622E-2
7.482371450E-1,4.609305412E-3,-1.435376704E-3,-1.434230804E-2,1.513300376E-2
7.522044300E-1,3.767996654E-2,1.040019840E-2,-3.560352325E-2,5.287300704E-2
7.561717160E-1,1.558078453E-3,-5.615799874E-2,-6.814956665E-3,5.659144869E-2
7.601390010E-1,-1.295349747E-2,-1.998554170E-2,2.410984039E-2,3.388951722E-2
7.641368030E-1,-4.141874611E-2,-2.452693880E-2,5.715179443E-2,7.472222469E-2
7.681040890E-1,6.344009936E-2,1.124247909E-2,3.530979156E-2,7.346986405E-2
7.720713740E-1,2.501765266E-2,-5.765683949E-2,-5.355834961E-3,6.307835645E-2
7.760386590E-1,5.905028433E-3,-9.733125567E-3,-9.314918518E-2,9.384228148E-2
7.800059440E-1,1.025058329E-3,-4.996490479E-2,-2.352523804E-2,5.523567035E-2
7.840037470E-1,-6.356673315E-3,-4.475357383E-2,-1.964569092E-3,4.524543290E-2
7.879710320E-1,1.485929079E-2,-1.114971191E-2,5.177497864E-3,1.928525558E-2
7.919383170E-1,3.606306389E-2,7.817149162E-4,3.362751007E-2,4.931495806E-2
7.959056020E-1,1.681695506E-2,-1.110150665E-2,2.478599548E-3,2.030263242E-2
7.999034050E-1,-2.117514238E-2,-1.546226442E-3,-4.668235779E-3,2.173867283E-2
8.038706900E-1,-4.237594828E-2,-3.477568924E-2,-1.411724091E-2,5.660712010E-2
8.078379750E-1,-4.230912775E-2,8.262597024E-3,1.211643219E-2,4.477879777E-2
8.118052600E-1,-3.519760072E-2,2.239301056E-2,5.237102509E-2,6.695552469E-2
8.157725460E-1,-3.289696574E-2,2.708320320E-2,6.381130219E-2,7.673064927E-2
8.197703480E-1,-1.871426776E-2,3.392925113E-2,1.578044891E-2,4.183826560E-2
8.237376340E-1,-3.537575155E-2,1.703382283E-2,-4.607391357E-2,6.053429136E-2
8.277049190E-1,-7.809846103E-2,8.565976471E-2,-5.281734467E-2,1.273838169E-1
8.316722040E-1,7.413615286E-2,1.855739951E-2,4.258728027E-2,8.748841454E-2
8.356700070E-1,3.027587757E-2,4.082441330E-3,-1.949024200E-2,3.623761337E-2
8.396372920E-1,2.491931431E-2,6.343051791E-3,-2.713203430E-3,2.585668201E-2
8.436045770E-1,5.761322379E-2,8.528731763E-3,-3.829574585E-2,6.970356498E-2
8.475718620E-1,4.969375953E-2,1.554495841E-2,-2.136325836E-2,5.628058525E-2
8.515696650E-1,2.304124273E-2,2.496159077E-2,-2.593708038E-2,4.274005170E-2
8.555369500E-1,-2.454693243E-2,8.167281747E-3,2.772331238E-3,2.601811299E-2
8.595042350E-1,-7.434621453E-3,-3.929912299E-2,5.735969543E-2,6.992731458E-2
8.634715200E-1,-1.870970801E-2,8.513271809E-3,1.651191711E-2,2.636612177E-2
8.674388050E-1,-3.237568587E-2,8.485607803E-3,1.637554169E-2,3.726055476E-2
8.714366080E-1,2.936983109E-2,-5.563908070E-2,1.623821259E-2,6.497671758E-2
8.754038930E-1,1.435237378E-2,-2.188794315E-2,6.613731384E-3,2.699655777E-2
8.793711780E-1,1.373980381E-2,-6.199220568E-2,4.691314697E-2,7.894719205E-2
8.833384640E-1,-5.320275202E-3,7.472984493E-3,6.788825989E-2,6.850523087E-2
8.873362660E-1,-4.039203748E-2,-3.300040215E-2,7.978439331E-3,5.276550699E-2
8.913035510E-1,-2.984648384E-2,-5.175530165E-2,-4.669666290E-2,7.582876877E-2
8.952708370E-1,-4.800604284E-2,1.035821438E-2,-7.242298126E-2,8.750406259E-2
8.992381220E-1,-9.251844138E-2,7.995977998E-3,-3.621482849E-2,9.967502928E-2
9.032054070E-1,-5.620729923E-2,-4.893103242E-2,2.344703674E-2,7.812342768E-2
9.072032100E-1,2.457513101E-2,-9.138882160E-4,8.498668671E-2,8.847321161E-2
9.111704950E-1,1.675034873E-2,4.011876881E-3,9.138774872E-2,9.299672013E-2
9.151377800E-1,5.161411688E-2,-7.939599454E-3,6.925964355E-2,8.674072011E-2
9.191050650E-1,-1.831879839E-3,6.564576179E-2,-3.103733063E-2,7.263633882E-2
9.231028680E-1,-1.931729168E-2,-2.765636891E-2,-4.739379883E-2,5.817391741E-2
9.270701530E-1,2.983753011E-2,5.555491894E-2,-4.937553406E-2,8.009101439E-2
9.310374380E-1,7.565092295E-3,-4.218032956E-2,5.643844604E-3,4.322341733E-2
9.350047230E-1,3.546128422E-2,-3.465845436E-2,1.983356476E-2,5.340488206E-2
9.389720090E-1,2.750486508E-2,3.586277366E-3,1.253986359E-2,3.044055136E-2
9.429698110E-1,-6.360186636E-2,1.067010313E-2,1.243400574E-2,6.567840592E-2
9.469370960E-1,9.870456532E-3,-1.082438231E-2,7.593154907E-3,1.649997472E-2
9.509043820E-1,6.919506937E-3,1.296757162E-2,9.904861450E-3,1.772410139E-2
9.548716670E-1,2.810740657E-2,1.757114381E-2,3.194808960E-4,3.314926043E-2
9.588694690E-1,6.844028831E-3,6.728528440E-2,5.068778992E-3,6.782214054E-2
9.628367550E-1,4.993304610E-3,3.581633419E-2,-2.108955383E-2,4.186301669E-2
9.668040400E-1,1.761892438E-2,5.448357761E-2,7.580757141E-3,5.776118597E-2
9.707713250E-1,-5.538039654E-2,8.991658688E-3,-6.735801697E-3,5.650848849E-2
9.747691280E-1,-8.761782199E-2,-4.855096340E-4,-1.927375793E-3,8.764036300E-2
9.787364130E-1,-3.186085075E-2,-5.211681128E-4,4.557228088E-2,5.560771720E-2
9.827036980E-1,2.080771327E-2,8.486547321E-2,9.589195251E-3,8.790370948E-2
9.866709830E-1,4.454451054E-2,2.477228642E-2,2.137374878E-2,5.526949186E-2
9.906687860E-1,-3.434129804E-2,1.739883423E-2,-2.628707886E-2,4.661603478E-2
9.946360710E-1,-2.276700363E-2,5.309484899E-3,-4.268360138E-2,4.866638378E-2
9.986033560E-1,-3.026450053E-2,-2.318453044E-2,9.904861450E-3,3.938995715E-2
1.002570641E0,3.613369912E-2,-2.282427996E-2,3.118610382E-2,5.290713600E-2
1.006537926E0,8.557128906E-2,1.301394403E-2,3.330135345E-2,9.274043559E-2
1.010535729E0,-7.728787139E-3,1.765858382E-2,2.827262878E-2,3.421843467E-2
1.014503014E0,-7.660359144E-3,5.691602826E-3,1.853466034E-2,2.084727989E-2
1.018470300E0,-3.048127517E-3,-1.573499292E-2,2.788257599E-2,3.216083219E-2
1.022468102E0,2.766736224E-2,-2.984106541E-2,3.951358795E-2,5.672121077E-2
1.026435387E0,4.169424996E-2,-1.772744954E-2,-1.541042328E-2,4.785555446E-2
1.030402673E0,4.376708716E-2,-3.894392401E-2,-2.240943909E-2,6.272455736E-2
1.034369958E0,1.028567180E-2,-2.915634960E-2,-1.984596252E-2,3.673894385E-2
1.038337243E0,4.127889872E-2,1.857151836E-2,1.685142517E-3,4.529556798E-2
1.042335046E0,-4.937451333E-2,1.124990731E-2,1.115894318E-2,5.185484542E-2
1.046302331E0,-3.978798538E-2,1.349212229E-2,8.705139160E-3,4.290571748E-2
1.050269616E0,6.214360148E-2,-5.650304258E-3,6.256103516E-3,6.271277361E-2
1.054236901E0,1.565121114E-3,-1.031126827E-2,-1.280307770E-2,1.651334781E-2
1.058234704E0,-2.285255864E-2,-2.446243912E-2,-3.194808960E-3,3.362821982E-2
1.062201989E0,7.796501741E-3,4.277490079E-3,-5.544662476E-3,1.047977303E-2
1.066169274E0,4.556528479E-2,-2.666639537E-2,-1.262569427E-2,5.428351477E-2
1.070136559E0,-1.171379164E-2,2.008982003E-3,-1.014518738E-2,1.562605997E-2
1.074103844E0,2.186446823E-2,-9.925797582E-3,-5.308151245E-3,2.459172418E-2
1.078101647E0,3.029093146E-3,1.995384693E-3,-1.239013672E-2,1.291016860E-2
1.082068932E0,-7.505471259E-2,4.356175661E-3,-2.177333832E-2,7.827045682E-2
1.086036218E0,-5.272979289E-2,3.750915825E-2,3.064346313E-2,7.159881175E-2
1.090003503E0,-9.001891315E-2,3.490564972E-2,7.312011719E-2,1.211130077E-1
1.094001305E0,-3.211304545E-2,5.599752814E-2,5.114459991E-2,8.235739764E-2
1.097968591E0,3.708957136E-2,3.298148513E-3,4.121589661E-2,5.554515479E-2
1.101935876E0,-1.786729135E-2,2.938969433E-2,-4.235267639E-3,3.465446183E-2
1.105903161E0,-2.736772411E-2,4.096826911E-2,2.926826477E-3,4.935542229E-2
1.109870446E0,1.051612198E-3,3.583573550E-2,-3.034210205E-2,4.696753117E-2
